type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14,type15,type16,type17,type18,type19,type20,type21,type22,type23,type24,type25,type26,type27
TRUE,TRUE,16878,TRUE,8094,47210,8097,3569,40984,-,-,-,-,-,-,-,-,-,27755,-,-,-,-,-,-,-,-
-,-,18430,-,9190,47303,13355,7306,-,-,-,-,-,-,-,-,-,-,27792,-,-,-,-,-,-,-,-
-,-,18483,-,9298,47307,13620,7370,-,-,-,-,-,-,-,-,-,-,27756,-,-,-,-,-,-,-,-
-,-,18550,-,10380,58245,16384,10473,-,-,-,-,-,-,-,-,-,-,27747,-,-,-,-,-,-,-,-
-,-,27260,-,11262,59684,18711,13513,-,-,-,-,-,-,-,-,-,-,27790,-,-,-,-,-,-,-,-
-,-,27371,-,13536,47390,25839,14771,-,-,-,-,-,-,-,-,-,-,27791,-,-,-,-,-,-,-,-
-,-,28677,-,13617,47404,36862,16037,-,-,-,-,-,-,-,-,-,-,27750,-,-,-,-,-,-,-,-
-,-,29187,-,27291,47308,38941,18491,-,-,-,-,-,-,-,-,-,-,27754,-,-,-,-,-,-,-,-
-,-,38534,-,28897,47310,57414,39237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,64932,-,33750,47248,64892,59742,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,68503,-,69883,47394,64937,59745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,TRUE,-,15974,51975,70075,59746,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,16381,47315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,68238,47404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,7917,,,,,,,,,,,,,,,,,,,,,,
,,,,33084,,,,,,,,,,,,,,,,,,,,,,
,,,,68267,,,,,,,,,,,,,,,,,,,,,,
,,,,55622,,,,,,,,,,,,,,,,,,,,,,
